t,omega_ref_rpm,omega_rpm,omega_m,omega_e,ids,iqs,id_ref,iq_ref,iq_unsat,aw,Te,T_L,vd,vq,psi_r_mag,mpc_status
1.478,1500.0,1500.0004288690702,157.07967759055367,314.5152183532916,4.999999966059232,0.15547209582590574,5.0,0.15547204225202815,0.15547204225202815,0.0,0.1570796891243101,0.0,1.9821446326750607,112.19231326303881,0.34650002544417385,1.0
1.479,1500.0,1500.0004288742043,157.0796775910913,314.51521834864735,4.999999966447163,0.1554720931879802,5.0,0.15547204026535008,0.15547204026535008,0.0,0.15707968899623176,0.0,1.982144695973125,112.19231316782896,0.34650002513370515,1.0
1.48,1500.0,1500.000428879281,157.07967759162293,314.5152183440559,4.99999996683064,0.1554720905800269,5.0,0.15547203830076176,0.15547203830076176,0.0,0.1570796888696573,0.0,1.9821447585484702,112.19231307377568,0.346500024827009,1.0
1.481,1500.0,1500.000428884301,157.07967759214864,314.5152183395166,4.999999967209775,0.15547208800167936,5.0,0.15547203635798842,0.15547203635798842,0.0,0.15707968874454287,0.0,1.9821448204087007,112.19231298086498,0.34650002452403955,1.0
1.482,1500.0,1500.0004288892658,157.07967759266853,314.5152183350287,4.999999967584555,0.1554720854525454,5.0,0.15547203443673097,0.15547203443673097,0.0,0.15707968862081492,0.0,1.9821448815618012,112.19231288908293,0.34650002422475173,1.0
1.483,1500.0,1500.0004288941743,157.07967759318257,314.5152183305913,4.999999967955052,0.15547208293224135,5.0,0.15547203253669767,0.15547203253669767,0.0,0.1570796884984051,0.0,1.9821449420169,112.19231279841571,0.346500023929101,1.0
1.484,1500.0,1500.000428899029,157.07967759369095,314.5152183262045,4.999999968321318,0.1554720804405538,5.0,0.15547203065777104,0.15547203065777104,0.0,0.157079688377413,0.0,1.9821450017808673,112.19231270885014,0.34650002363704335,1.0
1.485,1500.0,1500.0004289038295,157.07967759419364,314.5152183218671,4.999999968683414,0.15547207797701357,5.0,0.15547202879956623,0.15547202879956623,0.0,0.15707968825767657,0.0,1.982145060862471,112.19231262037259,0.34650002334853514,1.0
1.486,1500.0,1500.0004289085764,157.07967759469074,314.5152183175788,4.999999969041352,0.15547207554138118,5.0,0.155472026961937,0.155472026961937,0.0,0.1570796881392621,0.0,1.9821451192691273,112.19231253296996,0.3465000230635334,1.0
1.487,1500.0,1500.0004289132708,157.07967759518232,314.51521831333895,4.999999969395193,0.1554720731333132,5.0,0.1554720251446256,0.1554720251446256,0.0,0.1570796880221275,0.0,1.982145177008092,112.19231244662933,0.34650002278199576,1.0
1.488,1500.0,1500.000428917912,157.07967759566836,314.5152183091469,4.999999969745001,0.15547207075248753,5.0,0.15547202334739868,0.15547202334739868,0.0,0.15707968790624868,0.0,1.9821452340876458,112.19231236133773,0.3465000225038803,1.0
1.489,1500.0,1500.000428922502,157.07967759614903,314.5152183050025,4.999999970090798,0.15547206839869204,5.0,0.15547202157013507,0.15547202157013507,0.0,0.15707968779170928,0.0,1.9821452905149468,112.19231227708265,0.34650002222914555,1.0
1.49,1500.0,1500.0004289270405,157.0796775966243,314.51521830090485,4.999999970432672,0.1554720660715268,5.0,0.15547201981251688,0.15547201981251688,0.0,0.15707968767839975,0.0,1.982145346297933,112.1923121938513,0.3465000219577506,1.0
1.491,1500.0,1500.0004289315284,157.07967759709427,314.5152182968537,4.999999970770622,0.15547206377078912,5.0,0.15547201807442268,0.15547201807442268,0.0,0.15707968756640656,0.0,1.982145401443284,112.19231211163151,0.3465000216896549,1.0
1.492,1500.0,1500.0004289359658,157.07967759755897,314.5152182928483,4.999999971104698,0.1554720614961179,5.0,0.15547201635558056,0.15547201635558056,0.0,0.15707968745565284,0.0,1.982145455958764,112.19231203041093,0.34650002142481856,1.0
